lake,month,value
,7,"Bar31, 550.3640776699029"
,7,"Bar32, 550.7281553398059"
,7,"Bar33, 550.9101941747573"
,7,"Bar34, 551.8203883495146"
,7,"Bar35, 552.1844660194174"
,7,"Bar36, 552.5485436893204"
,7,"Bar37, 552.5485436893204"
,7,"Bar38, 553.6407766990292"
,7,"Bar39, 552.9126213592233"
,7,"Bar40, 552.9126213592233"
,7,"Bar41, 554.004854368932"
,7,"Bar42, 554.7330097087379"
,7,"Bar43, 554.1868932038835"
,7,"Bar44, 554.7330097087379"
,7,"Bar45, 555.0970873786408"
,7,"Bar46, 556.1893203883495"
,7,"Bar47, 556.1893203883495"
,7,"Bar48, 556.9174757281553"
,7,"Bar49, 556.9174757281553"
,7,"Bar50, 558.1917475728155"
,7,"Bar51, 557.2815533980582"
,8,"Bar0, 526.6990291262136"
,8,"Bar1, 533.252427184466"
,8,"Bar2, 534.7087378640776"
,8,"Bar3, 539.4417475728155"
,8,"Bar4, 540.1699029126214"
,8,"Bar5, 542.7184466019418"
,8,"Bar6, 542.7184466019418"
,8,"Bar7, 543.8106796116505"
,8,"Bar8, 544.1747572815534"
,8,"Bar9, 544.9029126213592"
,8,"Bar10, 544.9029126213592"
,8,"Bar11, 545.6310679611651"
,8,"Bar12, 545.6310679611651"
,8,"Bar13, 546.7233009708738"
,8,"Bar14, 546.7233009708738"
,8,"Bar15, 547.4514563106796"
,8,"Bar16, 548.1796116504854"
,8,"Bar17, 547.4514563106796"
,8,"Bar18, 548.1796116504854"
,8,"Bar19, 548.1796116504854"
,8,"Bar20, 548.1796116504854"
,8,"Bar21, 547.8155339805826"
,8,"Bar22, 548.9077669902913"
,8,"Bar23, 549.2718446601941"
,8,"Bar24, 549.6359223300971"
,8,"Bar25, 550.3640776699029"
,8,"Bar26, 551.0922330097087"
,8,"Bar27, 550.7281553398059"
,8,"Bar28, 552.5485436893204"
,8,"Bar29, 552.9126213592233"
,8,"Bar30, 550.7281553398059"
,8,"Bar31, 551.4563106796116"
,8,"Bar32, 555.0970873786408"
